,Name,County,Metro,mean_price_4Bedroom,min_t_4Bedroom,t_range_4Bedroom,intercept_4Bedroom,price_trend_4Bedroom,intercept_err_4Bedroom,price_trend_err_4Bedroom,rsquared_4Bedroom,std_err_4Bedroom,nobs_4Bedroom
0,Bedford Stuyvesant,Kings,New York,4066.239,1793.164,669.165,3506.750,0.263,420.182,0.197,0.079,181.769,23.000
1,Bushwick,Kings,New York,3997.982,1641.081,821.248,2548.074,0.707,360.505,0.174,0.387,218.571,28.000
2,Jamaica Plain,Suffolk,Boston,3713.750,1945.247,517.082,3697.861,0.007,1113.797,0.504,0.000,318.205,18.000
3,Brighton,Suffolk,Boston,3558.817,576.500,1885.829,2716.935,0.554,48.812,0.030,0.847,130.406,63.000
4,Allston,Suffolk,Boston,4059.118,819.833,1642.496,3618.056,0.269,65.565,0.038,0.481,134.729,55.000
5,North Central,Philadelphia,Philadelphia,2757.812,1519.415,942.915,2054.812,0.353,164.542,0.082,0.383,125.885,32.000
