,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
81,,,1.85860655738,0.0306175145009,3.76928783383,0.0340398333044,674,270628,4444.0,NV,Clark,Las Vegas,Downtown,-115.1426462,36.1672389,0.0354542,0.0168425,4.8474190954
82,137.0,269800.0,1.88839285714,0.0428687255155,3.90643274854,0.0471935484028,342,270764,4424.0,NV,Clark,Las Vegas,The Lakes,-115.2973624,36.149845,0.0368282,0.0405466,12.1916127804
83,68.0,107100.0,1.5,0.176776695297,3.95,0.259326049598,10,271156,5099.0,PA,Allegheny,Pittsburgh,Brighton Heights,-80.0384837,40.4815884,0.026785,0.0196457,1.73919650853
84,208.0,251800.0,1.77678571429,0.0406180689809,3.61978021978,0.0398173573246,455,271161,5120.0,PA,Allegheny,Pittsburgh,Central Business District,-79.9991473,40.4406616,0.0282056,0.0134715,1.26076757394
85,96.0,167000.0,1.47368421053,0.114548881596,4.22916666667,0.121403706507,24,271162,5149.0,PA,Allegheny,Pittsburgh,Central Northside,-80.0107899,40.4571724,0.0186235,0.0081367,0.502218377889
86,,,1.63636363636,0.193818833051,3.71428571429,0.209121444203,21,271165,5219.0,PA,Allegheny,Pittsburgh,Chateau,-80.0261967,40.4533313,0.0195074,0.0174212,1.12459692397
87,63.0,112100.0,1.52173913043,0.135685130018,3.68518518519,0.131333114381,27,271169,5154.0,PA,Allegheny,Pittsburgh,East Allegheny,-79.9969969,40.4557839,0.011301,0.010288,0.38585487078
88,37.0,46800.0,2.0,0.0,3.5,0.707106781187,2,271172,5193.0,PA,Allegheny,Pittsburgh,East Hills,-79.8757877,40.4553223,0.0203438,0.012722,0.869241720116
89,,,2.0,0.0,3.75,0.176776695297,2,271176,5091.0,PA,Allegheny,Pittsburgh,Fairywood,-80.0820226,40.4499305,0.0271267,0.020265,1.80904702072
90,,,1.8,0.334664010614,3.42857142857,0.356120987074,7,271179,5181.0,PA,Allegheny,Pittsburgh,Friendship,-79.9338636,40.4606552,0.0063648,0.0082207,0.17473267752
